condition,model_name,accuracy,abstain_rate,hallucination_rate,avg_conf_correct,avg_conf_incorrect,brier_score,n
baseline,claude-haiku-4-5-20251001,0.6358381502890174,0.10404624277456648,0.26011560693641617,84.325,71.4090909090909,0.2374967741935484,173
abstain,claude-haiku-4-5-20251001,0.630057803468208,0.17341040462427745,0.19653179190751446,78.69158878504673,60.30769230769231,0.2114553459119497,173
cite_or_abstain,claude-haiku-4-5-20251001,0.49710982658959535,0.3872832369942196,0.11560693641618497,70.79069767441861,31.430232558139537,0.1889063953488372,173
chain_of_thought,claude-haiku-4-5-20251001,0.6242774566473989,0.14450867052023122,0.23121387283236994,83.71428571428571,87.0,0.3735818181818182,173
confident,claude-haiku-4-5-20251001,0.5780346820809249,0.011560693641618497,0.41040462427745666,86.74,71.70833333333333,0.2594261627906977,173
baseline,gpt-4o-mini,0.0,1.0,0.0,,,,173
abstain,gpt-4o-mini,0.0,1.0,0.0,,,,173
cite_or_abstain,gpt-4o-mini,0.0,1.0,0.0,,,,173
chain_of_thought,gpt-4o-mini,0.0,0.9942196531791907,0.005780346820809248,,,,173
confident,gpt-4o-mini,0.0,0.9942196531791907,0.005780346820809248,,,,173
