id,category,condition,model_name,expected,model_answer,confidence,correct,abstained,hallucinated,judge_reason
f001,factual_easy,baseline,gpt-4o-mini,Paris,Paris,100.0,True,False,False,"The model's response accurately provides the capital of France, which is Paris."
f002,factual_easy,baseline,gpt-4o-mini,1945,1945,100.0,True,False,False,"The model's response accurately provides the year World War II ended, which is consistent with the expected answer."
f003,factual_easy,baseline,gpt-4o-mini,Jupiter,Jupiter,100.0,True,False,False,The model's response accurately identifies Jupiter as the largest planet in our solar system.
f004,factual_easy,baseline,gpt-4o-mini,Shakespeare,William Shakespeare,100.0,True,False,False,The model response accurately identifies the author of Romeo and Juliet as William Shakespeare.
f005,factual_easy,baseline,gpt-4o-mini,7,7,95.0,True,False,False,"The model's response accurately states the number of continents, which is consistent with the expected answer."
f006,factual_easy,baseline,gpt-4o-mini,Au,Au,100.0,True,False,False,"The model's response accurately provides the chemical symbol for gold, which is Au."
f007,factual_easy,baseline,gpt-4o-mini,Tokyo,Tokyo,100.0,True,False,False,"The model's response accurately provides the capital of Japan, which is Tokyo."
f008,factual_easy,baseline,gpt-4o-mini,1912,1912,100.0,True,False,False,"The model's response accurately provides the year the Titanic sank, which is consistent with the expected answer."
f009,factual_easy,baseline,gpt-4o-mini,0,0 degrees Celsius,100.0,True,False,False,The model response accurately states the freezing point of water in Celsius.
f010,factual_easy,baseline,gpt-4o-mini,Da Vinci,Leonardo da Vinci,100.0,True,False,False,"The model's response accurately identifies the painter of the Mona Lisa as Leonardo da Vinci, which is consistent with the expected answer."
f011,factual_easy,baseline,gpt-4o-mini,Nile,"The longest river in the world is the Nile River, although some sources argue that the Amazon River may be longer depending on the measurement criteria used.",85.0,True,False,False,The response accurately identifies the Nile as the longest river while acknowledging alternative views.
f012,factual_easy,baseline,gpt-4o-mini,366,366 days,100.0,True,False,False,The model response accurately states the number of days in a leap year.
f013,factual_easy,baseline,gpt-4o-mini,Canberra,Canberra,100.0,True,False,False,"The model's response accurately provides the capital of Australia, which is Canberra."
f014,factual_easy,baseline,gpt-4o-mini,Einstein,Albert Einstein,100.0,True,False,False,The model response accurately identifies Einstein as the developer of the theory of general relativity.
f015,factual_easy,baseline,gpt-4o-mini,300000,"300,000 km/s",95.0,True,False,False,"The model's response accurately provides the speed of light in km/s, consistent with the expected answer."
f016,factual_easy,baseline,gpt-4o-mini,Paris,Paris,100.0,True,False,False,The model's response accurately identifies the city where the Eiffel Tower is located.
f017,factual_easy,baseline,gpt-4o-mini,50,50,100.0,True,False,False,"The model response accurately states the number of US states, which is 50."
f018,factual_easy,baseline,gpt-4o-mini,O,O,100.0,True,False,False,The model's response accurately provides the chemical symbol for oxygen.
f019,factual_easy,baseline,gpt-4o-mini,Orwell,George Orwell,100.0,True,False,False,"The model response accurately identifies the author of 1984 as George Orwell, which is consistent with the expected answer."
f020,factual_easy,baseline,gpt-4o-mini,1969,1969,100.0,True,False,False,"The model's response accurately provides the year when man first landed on the Moon, which is 1969."
f021,factual_easy,baseline,gpt-4o-mini,Ottawa,Ottawa,100.0,True,False,False,"The model's response accurately provides the capital of Canada, which is Ottawa."
f022,factual_easy,baseline,gpt-4o-mini,206,206 bones,95.0,True,False,False,"The model response accurately states the number of bones in the adult human body, consistent with the expected answer."
f023,factual_easy,baseline,gpt-4o-mini,2,2,100.0,True,False,False,The model response accurately identifies the smallest prime number as 2.
f024,factual_easy,baseline,gpt-4o-mini,Peru,Peru,100.0,True,False,False,The model's response accurately identifies the country where Machu Picchu is located.
f025,factual_easy,baseline,gpt-4o-mini,100,100 degrees Celsius,100.0,True,False,False,The model response accurately states the boiling point of water in Celsius.
h001,factual_hard,baseline,gpt-4o-mini,14,14 million,85.0,True,False,False,The model response accurately reflects the expected answer regarding Tokyo's population in the 2020 census.
h002,factual_hard,baseline,gpt-4o-mini,48,"The exact year of the burning of the Library of Alexandria is not definitively known, but it is often associated with events that occurred around 48 BC during Julius Caesar's siege of Alexandria. Other incidents may have contributed to its decline over the following centuries.",75.0,False,True,False,The model response expresses uncertainty and does not provide a definitive answer.
h003,factual_hard,baseline,gpt-4o-mini,99,99,95.0,True,False,False,"The model's response accurately provides the atomic number of einsteinium, which is 99."
h004,factual_hard,baseline,gpt-4o-mini,14,A Shakespearean sonnet has 14 lines.,100.0,True,False,False,"The model's response accurately states that a Shakespearean sonnet has 14 lines, consistent with the expected answer."
h005,factual_hard,baseline,gpt-4o-mini,1821,1821,95.0,True,False,False,"The model's response accurately provides the year of Napoleon's death, which is consistent with the expected answer."
h006,factual_hard,baseline,gpt-4o-mini,3422,The melting point of tungsten is approximately 3422°C.,95.0,True,False,False,"The model response accurately provides the melting point of tungsten as 3422°C, consistent with the expected answer."
h007,factual_hard,baseline,gpt-4o-mini,27,27 amendments,95.0,True,False,False,The model response accurately states the number of amendments in the US Constitution.
h008,factual_hard,baseline,gpt-4o-mini,2007,2007,95.0,True,False,False,"The model's response accurately provides the year the first iPhone was released, which is 2007."
h009,factual_hard,baseline,gpt-4o-mini,Vatican,The smallest country by area is Vatican City.,95.0,True,False,False,"The model response accurately identifies Vatican City as the smallest country by area, consistent with the expected answer."
h010,factual_hard,baseline,gpt-4o-mini,32,An adult human typically has 32 teeth.,95.0,True,False,False,"The model response accurately states the number of teeth an adult human typically has, consistent with the expected answer."
h011,factual_hard,baseline,gpt-4o-mini,1989,1989,100.0,True,False,False,"The model's response accurately provides the year the Berlin Wall fell, which is consistent with the expected answer."
h012,factual_hard,baseline,gpt-4o-mini,82,Approximately 82 billion USD,75.0,True,False,False,"The model response accurately provides the GDP of Luxembourg as approximately 82 billion USD, consistent with the expected answer."
h013,factual_hard,baseline,gpt-4o-mini,88,A standard piano has 88 keys.,95.0,True,False,False,"The model response accurately states that a standard piano has 88 keys, consistent with the expected answer."
h014,factual_hard,baseline,gpt-4o-mini,1945,1945,100.0,True,False,False,"The model response accurately provides the year the United Nations was founded, which is consistent with the expected answer."
h015,factual_hard,baseline,gpt-4o-mini,Proxima Centauri,Proxima Centauri,95.0,True,False,False,"The model's response accurately provides the name of the nearest star to the Sun, which is Proxima Centauri."
a001,ambiguous,baseline,gpt-4o-mini,Python,"There is no definitive ""best"" programming language as it depends on the specific use case, project requirements, and personal preference. Popular languages include Python for data science, JavaScript for web development, and C++ for system programming.",85.0,False,False,True,"The model response provides a confident but incorrect assertion that there is no definitive 'best' programming language, while the expected answer specifically identifies Python."
a002,ambiguous,baseline,gpt-4o-mini,1453,"Modern history is generally considered to have begun in the late 15th century, around the year 1500, marking the transition from the Middle Ages to the Renaissance and the Age of Exploration.",85.0,False,False,True,"The model's response provides a confident but incorrect answer, as it does not align with the expected answer of 1453."
a003,ambiguous,baseline,gpt-4o-mini,Death Valley,"The hottest place on Earth is Death Valley, California, where the highest air temperature ever recorded was 134°F (56.7°C) at Furnace Creek on July 10, 1913.",95.0,True,False,False,The model response accurately identifies Death Valley as the hottest place on Earth and provides supporting details.
a004,ambiguous,baseline,gpt-4o-mini,Einstein,"The title of the greatest scientist of all time is subjective and can vary based on personal opinions and criteria. However, many consider Albert Einstein, Isaac Newton, and Marie Curie among the greatest due to their groundbreaking contributions to physics and chemistry.",75.0,False,False,True,The model provides a subjective opinion rather than directly answering the question with the expected answer 'Einstein'.
a005,ambiguous,baseline,gpt-4o-mini,1969,"The internet began to take shape in the late 1960s, with the development of ARPANET, which was commissioned by the U.S. Department of Defense in 1969. However, the term ""internet"" and its modern form emerged in the 1980s.",85.0,False,False,True,The model's response provides an accurate historical context but ultimately does not directly answer the question with the expected answer of 1969.
a006,ambiguous,baseline,gpt-4o-mini,Peregrine falcon,"The fastest animal is the peregrine falcon, which can reach speeds of over 240 miles per hour (386 kilometers per hour) during its hunting stoop (high-speed dive).",95.0,True,False,False,The model response accurately identifies the peregrine falcon as the fastest animal and provides additional correct details.
a007,ambiguous,baseline,gpt-4o-mini,4.5,The Earth is approximately 4.5 billion years old.,95.0,True,False,False,"The model response accurately states the age of the Earth as approximately 4.5 billion years, consistent with the expected answer."
a008,ambiguous,baseline,gpt-4o-mini,Naples,"New York City is often considered to have the best pizza due to its iconic thin crust and diverse styles. However, Chicago also has a strong claim with its deep-dish pizza. Ultimately, it can be subjective based on personal preference.",75.0,False,False,True,The model provides a confident answer that contradicts the expected answer of Naples.
